zaxis,yaxis,H,B,C,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Se,Ag,Sb,Ba,Pb,Bi,U,REE
Cu,Ba,2,0,0,5,0,0,0,1,4,0,2,0,2,1,0,1,0,2,2,7,0,0,0,0,0,7,1,0,0,0
Cu,Pb,63,0,5,77,0,2,1,7,7,7,83,22,6,6,0,3,0,14,2,143,5,22,21,24,21,1,143,44,1,1
Cu,Bi,8,0,0,12,0,1,0,0,0,2,48,3,1,2,0,2,0,9,1,67,0,3,16,14,8,0,44,67,0,0
Cu,U,18,0,4,18,0,0,1,0,1,3,2,0,0,3,0,1,0,0,0,18,0,2,3,0,0,0,1,0,18,1
Cu,REE,11,0,4,13,0,1,0,0,1,3,1,1,0,3,0,0,1,1,0,13,0,4,0,0,0,0,1,0,1,13
Zn,H,241,0,18,241,3,15,37,40,37,46,58,12,11,35,17,7,42,62,3,41,241,59,0,1,5,2,29,0,6,4
Zn,B,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zn,C,18,0,20,20,0,0,3,1,0,1,4,0,0,4,0,0,2,2,0,4,20,1,0,0,0,0,0,0,1,0
Zn,O,241,1,20,294,3,23,44,45,54,48,65,16,21,46,19,8,54,72,3,46,294,67,3,1,7,3,37,0,6,7
Zn,F,3,0,0,3,3,3,0,0,2,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,1,0,0,0,2
Zn,Na,15,0,0,23,3,24,6,5,14,0,6,1,6,5,7,0,5,3,0,3,24,3,0,0,0,2,0,0,0,5
Zn,Mg,37,0,3,44,0,6,44,16,12,5,6,1,3,8,3,0,23,19,0,3,44,10,0,0,1,0,1,0,0,2
Zn,Al,40,0,1,45,0,5,16,47,13,6,8,0,7,3,5,3,9,20,2,3,47,4,0,0,1,0,0,0,0,0
Zn,Si,37,0,0,54,2,14,12,13,54,1,5,1,14,14,8,1,18,9,1,2,54,7,0,0,1,3,6,0,0,4
Zn,P,46,0,1,48,0,0,5,6,1,48,1,0,0,11,0,0,12,19,0,7,48,3,0,0,0,0,5,0,0,0
Zn,S,58,0,4,65,0,6,6,8,5,1,98,4,4,6,0,0,7,27,0,37,98,9,0,11,7,0,10,0,2,0
Zn,Cl,12,1,0,16,0,1,1,0,1,0,4,18,6,1,0,0,1,1,0,7,18,2,2,1,0,0,3,0,0,0
Zn,K,11,1,0,21,0,6,3,7,14,0,4,6,23,4,4,0,4,3,0,1,23,2,1,0,0,1,1,0,0,0
Zn,Ca,35,0,4,46,0,5,8,3,14,11,6,1,4,46,0,0,11,10,0,5,46,10,0,0,0,0,1,0,1,2
Zn,Ti,17,0,0,19,3,7,3,5,8,0,0,0,4,0,19,1,5,11,0,0,19,0,0,0,0,2,3,0,2,4
Zn,V,7,0,0,8,0,0,0,3,1,0,0,0,0,0,1,8,1,1,3,1,8,0,0,0,0,0,3,0,1,1
Zn,Mn,42,0,2,54,0,5,23,9,18,12,7,1,4,11,5,1,55,28,0,0,55,10,0,0,1,0,5,0,1,4
Zn,Fe,62,0,2,72,1,3,19,20,9,19,27,1,3,10,11,1,28,88,0,14,88,16,0,3,2,0,8,0,2,3
Zn,Ni,3,0,0,3,0,0,0,2,1,0,0,0,0,0,0,3,0,0,3,1,3,0,0,0,0,0,0,0,0,0
Zn,Cu,41,0,4,46,0,3,3,3,2,7,37,7,1,5,0,1,0,14,1,75,75,22,3,7,9,0,5,0,0,0
Zn,Zn,241,1,20,294,3,24,44,47,54,48,98,18,23,46,19,8,55,88,3,75,338,76,6,12,15,3,37,0,6,7
Zn,As,59,0,1,67,0,3,10,4,7,3,9,2,2,10,0,0,10,16,0,22,76,76,1,5,5,0,13,0,1,0
Zn,Se,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,6,1,6,0,1,0,1,0,0,0
Zn,Ag,1,0,0,1,0,0,0,0,0,0,11,1,0,0,0,0,0,3,0,7,12,5,0,12,5,0,1,0,0,0
Zn,Sb,5,0,0,7,0,0,1,1,1,0,7,0,0,0,0,0,1,2,0,9,15,5,1,5,15,0,1,0,0,0
Zn,Ba,2,0,0,3,1,2,0,0,3,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2
Zn,Pb,29,0,0,37,0,0,1,0,6,5,10,3,1,1,3,3,5,8,0,5,37,13,1,1,1,0,37,0,2,2
Zn,Bi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zn,U,6,0,1,6,0,0,0,0,0,0,2,0,0,1,2,1,1,2,0,0,6,1,0,0,0,0,2,0,6,1
Zn,REE,4,0,0,7,2,5,2,0,4,0,0,0,0,2,4,1,4,3,0,0,7,0,0,0,0,2,2,0,1,7
As,H,407,2,4,407,3,43,52,50,19,12,23,20,14,114,6,13,70,100,11,97,59,407,0,0,14,9,49,14,36,14
As,B,2,8,0,8,5,2,4,2,3,2,0,0,0,5,0,2,0,2,0,0,0,8,0,0,0,0,0,0,0,3
As,C,4,0,4,4,0,1,0,0,0,0,1,0,0,2,0,0,2,0,0,2,1,4,0,0,0,0,0,0,0,0
As,O,407,8,4,529,19,80,72,64,28,15,25,43,30,142,15,22,80,128,17,129,67,529,0,3,21,11,66,18,36,22
As,F,3,5,0,19,19,10,8,5,3,2,0,3,0,8,2,3,0,4,0,3,0,19,0,0,0,1,0,0,2,3
As,Na,43,2,1,80,10,80,26,14,4,5,3,14,8,34,5,3,13,29,0,21,3,80,0,0,3,0,3,0,1,2
As,Mg,52,4,0,72,8,26,72,9,8,2,0,4,2,28,1,4,17,18,0,7,10,72,0,0,0,0,2,1,4,2
As,Al,50,2,0,64,5,14,9,64,7,1,7,2,9,11,3,1,5,14,0,16,4,64,0,0,1,3,4,0,3,4
As,Si,19,3,0,28,3,4,8,7,28,0,1,3,1,6,2,3,17,10,0,3,7,28,0,0,1,0,3,0,0,5
As,P,12,2,0,15,2,5,2,1,0,15,1,1,1,3,0,3,1,2,0,5,3,15,0,0,0,0,4,1,2,0
As,S,23,0,1,25,0,3,0,7,1,1,201,5,2,2,0,4,7,23,7,58,9,201,2,58,65,1,70,5,0,0
As,Cl,20,0,0,43,3,14,4,2,3,1,5,48,5,12,1,5,4,5,0,16,2,48,0,1,4,1,21,2,0,0
As,K,14,0,0,30,0,8,2,9,1,1,2,5,30,3,4,2,0,6,0,11,2,30,0,0,1,0,2,0,2,0
As,Ca,114,5,2,142,8,34,28,11,6,3,2,12,3,142,2,7,20,30,3,28,10,142,0,0,4,1,5,1,3,6
As,Ti,6,0,0,15,2,5,1,3,2,0,0,1,4,2,15,3,1,7,0,2,0,15,0,0,2,1,1,0,0,1
As,V,13,2,0,22,3,3,4,1,3,3,4,5,2,7,3,26,3,2,0,7,0,26,0,1,3,1,4,0,0,0
As,Mn,70,0,2,80,0,13,17,5,17,1,7,4,0,20,1,3,87,15,0,5,10,87,0,3,7,1,8,0,0,4
As,Fe,100,2,0,128,4,29,18,14,10,2,23,5,6,30,7,2,15,153,6,32,16,153,1,5,9,3,16,5,2,5
As,Ni,11,0,0,17,0,0,0,0,0,0,7,0,0,3,0,0,0,6,42,2,0,42,1,0,3,0,1,3,3,0
As,Cu,97,0,2,129,3,21,7,16,3,5,58,16,11,28,2,7,5,32,2,190,22,190,5,18,19,0,22,3,2,4
As,Zn,59,0,1,67,0,3,10,4,7,3,9,2,2,10,0,0,10,16,0,22,76,76,1,5,5,0,13,0,1,0
As,As,407,8,4,529,19,80,72,64,28,15,201,48,30,142,15,26,87,153,42,190,76,769,8,63,92,11,131,24,36,22
As,Se,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,5,1,8,8,1,1,0,0,0,0,0
As,Ag,0,0,0,3,0,0,0,0,0,0,58,1,0,0,0,1,3,5,0,18,5,63,1,63,26,0,26,0,0,0
As,Sb,14,0,0,21,0,3,0,1,1,0,65,4,1,4,2,3,7,9,3,19,5,92,1,26,92,0,35,1,0,0
As,Ba,9,0,0,11,1,0,0,3,0,0,1,1,0,1,1,1,1,3,0,0,0,11,0,0,0,11,0,0,2,0
As,Pb,49,0,0,66,0,3,2,4,3,4,70,21,2,5,1,4,8,16,1,22,13,131,0,26,35,0,131,5,4,0
As,Bi,14,0,0,18,0,0,1,0,0,1,5,2,0,1,0,0,0,5,3,3,0,24,0,0,1,0,5,24,4,0
As,U,36,0,0,36,2,1,4,3,0,2,0,0,2,3,0,0,0,2,3,2,1,36,0,0,0,2,4,4,36,0
As,REE,14,3,0,22,3,2,2,4,5,0,0,0,0,6,1,0,4,5,0,4,0,22,0,0,0,0,0,0,0,22
Se,H,28,0,0,28,0,2,1,4,1,0,4,3,1,3,0,0,0,1,1,13,0,0,28,0,0,1,10,1,8,0
Se,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se,O,28,0,0,47,0,3,1,4,1,0,5,16,5,3,0,0,0,1,1,24,3,0,47,0,0,1,18,2,8,0
Se,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se,Na,2,0,0,3,0,3,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0
Se,Mg,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Se,Al,4,0,0,4,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
Se,Si,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Se,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se,S,4,0,0,5,0,0,0,0,0,0,21,0,0,1,0,0,0,2,0,13,0,2,21,4,1,0,13,11,0,0
Se,Cl,3,0,0,16,0,1,0,1,0,0,0,16,4,0,0,0,0,0,0,12,2,0,16,0,0,0,6,1,0,0
Se,K,1,0,0,5,0,2,1,0,0,0,0,4,5,0,0,0,0,0,0,4,1,0,5,0,0,0,1,0,0,0
Se,Ca,3,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,1,0,1,0
Se,Ti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se,Mn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se,Fe,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,5,0,1,9,1,1,0,0,0,0,0
Se,Ni,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,1,11,0,0,0,0,0,0,0
Se,Cu,13,0,0,24,0,1,0,1,0,0,13,12,4,1,0,0,0,5,3,75,3,5,75,7,10,0,21,16,3,0
Se,Zn,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,6,1,6,0,1,0,1,0,0,0
Se,As,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,5,1,8,8,1,1,0,0,0,0,0
Se,Se,28,0,0,47,0,3,1,4,1,0,21,16,5,3,0,0,0,9,11,75,6,8,156,15,13,1,35,31,8,0
Se,Ag,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,7,0,1,15,15,2,0,2,3,0,0
Se,Sb,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,1,1,13,2,13,0,0,0,0,0
Se,Ba,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Se,Pb,10,0,0,18,0,0,0,0,0,0,13,6,1,1,0,0,0,0,0,21,1,0,35,2,0,0,35,17,2,0
Se,Bi,1,0,0,2,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,16,0,0,31,3,0,0,17,31,0,0
Se,U,8,0,0,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,8,0,0,1,2,0,8,0
Se,REE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,H,4,0,0,4,1,0,0,0,0,0,1,3,1,0,0,0,0,1,0,2,1,0,0,4,0,0,3,0,0,0
Ag,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,O,4,0,0,9,1,0,0,0,0,0,3,5,1,0,0,1,0,1,0,4,1,3,0,9,2,0,5,0,0,0
Ag,F,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Ag,Na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,Mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,Al,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,Si,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,S,1,0,0,3,0,0,0,0,0,0,171,4,0,0,0,0,8,22,1,51,11,58,4,171,74,0,72,34,0,0
Ag,Cl,3,0,0,5,1,0,0,0,0,0,4,9,1,0,0,0,0,0,0,3,1,1,0,9,1,0,4,0,0,0
Ag,K,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Ag,Ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,Ti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,V,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Ag,Mn,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,1,0,0,0,3,0,8,6,0,5,0,0,0
Ag,Fe,1,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,1,22,1,7,3,5,1,22,8,0,4,2,0,0
Ag,Ni,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Ag,Cu,2,0,0,4,0,0,0,0,0,0,51,3,1,0,0,0,0,7,0,64,7,18,7,64,20,0,24,14,0,0
Ag,Zn,1,0,0,1,0,0,0,0,0,0,11,1,0,0,0,0,0,3,0,7,12,5,0,12,5,0,1,0,0,0
Ag,As,0,0,0,3,0,0,0,0,0,0,58,1,0,0,0,1,3,5,0,18,5,63,1,63,26,0,26,0,0,0
Ag,Se,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,7,0,1,15,15,2,0,2,3,0,0
Ag,Ag,4,0,0,9,1,0,0,0,0,0,171,9,1,0,0,1,8,22,1,64,12,63,15,224,79,0,81,40,0,0
Ag,Sb,0,0,0,2,0,0,0,0,0,0,74,1,0,0,0,0,6,8,0,20,5,26,2,79,79,0,43,10,0,0
Ag,Ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,Pb,3,0,0,5,1,0,0,0,0,0,72,4,1,0,0,0,5,4,0,24,1,26,2,81,43,0,81,29,0,0
Ag,Bi,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,2,0,14,0,0,3,40,10,0,29,40,0,0
Ag,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,REE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sb,H,38,0,0,38,1,7,2,6,3,0,10,3,3,6,4,1,3,8,2,7,5,14,0,0,38,0,4,0,0,0
Sb,B,0,3,0,3,0,0,3,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0
Sb,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sb,O,38,3,0,100,1,11,9,10,8,0,20,10,3,18,5,2,18,25,3,10,7,21,0,2,100,0,16,1,0,0
Sb,F,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sb,Na,7,0,0,11,1,11,0,0,0,0,3,1,2,1,1,0,0,0,0,1,0,3,0,0,11,0,1,0,0,0
Sb,Mg,2,3,0,9,0,0,9,3,2,0,0,0,0,1,0,0,5,5,0,0,1,0,0,0,9,0,0,0,0,0
Sb,Al,6,1,0,10,0,0,3,10,2,0,2,1,0,2,1,1,2,4,0,3,1,1,0,0,10,0,1,0,0,0
Sb,Si,3,0,0,8,0,0,2,2,8,0,0,0,0,1,0,0,6,4,0,0,1,1,0,0,8,0,0,0,0,0
Sb,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sb,S,10,0,0,20,0,3,0,2,0,0,200,6,4,2,0,3,12,20,9,55,7,65,1,74,200,0,98,21,0,0
Sb,Cl,3,0,0,10,0,1,0,1,0,0,6,13,0,2,0,0,0,0,0,4,0,4,0,1,13,0,9,0,0,0
Sb,K,3,0,0,3,0,2,0,0,0,0,4,0,4,0,0,0,0,0,0,1,0,1,0,0,4,0,1,0,0,0
Sb,Ca,6,0,0,18,1,1,1,2,1,0,2,2,0,18,2,0,2,5,0,2,0,4,0,0,18,0,1,0,0,0
Sb,Ti,4,0,0,5,0,1,0,1,0,0,0,0,0,2,5,1,1,2,0,1,0,2,0,0,5,0,0,0,0,0
Sb,V,1,0,0,2,0,0,0,1,0,0,3,0,0,0,1,5,0,1,0,2,0,3,0,0,5,0,1,0,0,0
Sb,Mn,3,3,0,18,0,0,5,2,6,0,12,0,0,2,1,0,30,9,0,1,1,7,0,6,30,0,8,0,0,0
Sb,Fe,8,2,0,25,0,0,5,4,4,0,20,0,0,5,2,1,9,45,2,8,2,9,1,8,45,0,9,3,0,0
Sb,Ni,2,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,2,17,4,0,3,0,0,17,0,1,2,0,0
Sb,Cu,7,0,0,10,0,1,0,3,0,0,55,4,1,2,1,2,1,8,4,74,9,19,10,20,74,0,21,8,0,0
Sb,Zn,5,0,0,7,0,0,1,1,1,0,7,0,0,0,0,0,1,2,0,9,15,5,1,5,15,0,1,0,0,0
Sb,As,14,0,0,21,0,3,0,1,1,0,65,4,1,4,2,3,7,9,3,19,5,92,1,26,92,0,35,1,0,0
Sb,Se,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,1,1,13,2,13,0,0,0,0,0
Sb,Ag,0,0,0,2,0,0,0,0,0,0,74,1,0,0,0,0,6,8,0,20,5,26,2,79,79,0,43,10,0,0
Sb,Sb,38,3,0,100,1,11,9,10,8,0,200,13,4,18,5,5,30,45,17,74,15,92,13,79,329,0,109,24,0,0
